label,url,category
UN BBNJ — MGR notifications (interim),https://www.un.org/bbnjagreement/en/mgr-notifications/bbnj-mgr-temp-2026-001,doalos_interim
UN BBNJ — CBTMT information-sharing (interim),https://www.un.org/bbnjagreement/en/Information-sharing/CBTMT,doalos_interim
UN BBNJ — Focal points,https://www.un.org/bbnjagreement/en/focal-points-formal-communications,doalos_interim
Notification 2026-001,https://www.un.org/bbnjagreement/en/notification-2026-001,doalos_interim
ABSCH (CBD) — pattern reference,https://absch.cbd.int/,mea_portal
BCH (Cartagena Protocol) — pattern reference,https://bch.cbd.int/,mea_portal
OBIS — ocean biodiversity data,https://obis.org/,data_system
ISA DeepData — mineral-related data (reference),https://www.isa.org.jm/deepdata-database/,mea_portal
IOC-UNESCO Ocean InfoHub,https://oceaninfohub.org/,data_system
